fact_id,category,priority,alias_index,question,canonical_question,answer,answer_hash,source_rows
org_address,address,100,1,中科生创集团总部地址是什么？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,2,中科生创集团在哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,3,中科生创集团在什么地方？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,4,中科生创集团的地址在哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,5,中科生创集团总部在哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,6,中科生创公司的地址是什么？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,7,中科生创集团办公地址是什么？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,8,中科生创集团位于什么地址？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,9,中科生创集团坐落在哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,10,中科生创集团所在地是哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,11,中科生创集团的总部位于哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
org_address,address,100,12,请问中科生创集团总部在哪里？,中科生创集团总部地址是什么？,中科生创集团总部地址为福建省福州市鼓楼区水部街道五一中路18号正大广场1#楼1层、2层。,589b7b45fea9,161-180;221-240;961-980
phone,phone,100,1,中科生创集团联系电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,2,中科生创集团电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,3,中科生创集团的公司电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,4,怎么电话联系中科生创集团？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,5,中科生创公司联系电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,6,中科生创公司的电话号码是什么？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,7,请问中科生创公司的联系电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,8,能告诉我中科生创公司的联系电话吗？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,9,中科生创公司的电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,10,中科生创公司联系电话是？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,11,请问中科生创公司的电话是多少？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
phone,phone,100,12,中科生创公司的联系方式（电话）是什么？,中科生创集团联系电话是多少？,中科生创集团联系电话为0591-87699999。,9ee216f5d5f4,241-260;981-1000
scientist_count,personnel_count,95,1,中科生创集团有几位科学家？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,2,中科生创集团总共有多少位科学家？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,3,中科生创有多少位科学家？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,4,中科生创集团科学家数量是多少？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,5,中科生创总共有多少位科学家？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,6,请问中科生创总共有多少位科学家？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
scientist_count,personnel_count,95,7,中科生创的科学家一共有几位？,中科生创集团有几位科学家？,中科生创集团总共有九位科学家。,ecc99254e981,281-300;1061-1080
